doc_id,document_link,page_count,cleaned_filer_names,member_name,member_id,traveler_is_likely_member,state,district,party,year,filing_type,departure_date,return_date,trip_length,sponsors_cleaned,combined_dests,dom_or_int,country_is_donor
500019951,https://www.documentcloud.org/documents/24139785-500019951,14,Patrick Stewart-Hester,"Stefanik, Elise",S001196,FALSE,NY,21,R,2018,Original,2018-06-30,2018-07-07,8,Hudson Institute;Baltic-American Freedom Foundation,"Riga, Latvia; Tallinn, Estonia; Vilnius, Lithuania",international,no
500019952,https://www.documentcloud.org/documents/24139784-500019952,9,Maxwell Huntley,"Wittman, Robert",W000804,FALSE,VA,1,R,2018,Original,2018-06-30,2018-07-07,8,Hudson Institute;Baltic-American Freedom Foundation,"Riga, Latvia; Tallinn, Estonia; Vilnius, Lithuania",international,no
500019953,https://www.documentcloud.org/documents/24139783-500019953,19,"Jonathan ""J.Z."" Golden","Larsen, Rick",L000560,FALSE,WA,2,D,2018,Original,2018-06-30,2018-07-09,10,Hudson Institute;Baltic-American Freedom Foundation,"Riga, Latvia; Tallinn, Estonia; Vilnius, Lithuania",international,no
500020606,https://www.documentcloud.org/documents/24138249-500020606,15,F. Sensenbrenner,"Sensenbrenner, F. James",S000244,TRUE,WI,5,R,2018,Original,2018-12-13,2018-12-18,6,Hudson Institute;Henry Jackson Society,"London, United Kingdom; Oxford, United Kingdom",international,no
500020607,https://www.documentcloud.org/documents/24138248-500020607,12,Linda Sanchez,"Sanchez, Linda",S001156,TRUE,CA,38,D,2018,Original,2018-12-13,2018-12-18,6,Hudson Institute;Henry Jackson Society,"London, United Kingdom; Oxford, United Kingdom",international,no
500020608,https://www.documentcloud.org/documents/24138247-500020608,10,Jared Huffman,"Huffman, Jared",H001068,TRUE,CA,2,D,2018,Original,2018-12-13,2018-12-18,6,Hudson Institute;Henry Jackson Society,"London, United Kingdom; Oxford, United Kingdom",international,no
500020610,https://www.documentcloud.org/documents/24138245-500020610,21,Joe Courtney,"Courtney, Joe",C001069,TRUE,CT,2,D,2018,Original,2018-12-13,2018-12-18,6,Hudson Institute;Henry Jackson Society,"London, United Kingdom; Oxford, United Kingdom",international,no
500020620,https://www.documentcloud.org/documents/24138234-500020620,16,Debbie Lesko,"Lesko, Debbie",L000589,TRUE,AZ,8,R,2018,Original,2018-12-13,2018-12-18,6,Hudson Institute;Henry Jackson Society,"London, United Kingdom; Oxford, United Kingdom",international,no
500020623,https://www.documentcloud.org/documents/24138232-500020623,2,Jenniffer Gonzalez-Colon,"Gonzalez-Colon, Jenniffer",G000582,TRUE,PR,0,R,2018,Amendment,2018-12-13,2018-12-18,6,Hudson Institute;Henry Jackson Society,"London, United Kingdom; Oxford, United Kingdom",international,no
500020791,https://www.documentcloud.org/documents/24138082-500020791,3,Michael R. Turner,"Turner, Michael",T000463,TRUE,OH,10,R,2018,Amendment,2018-12-13,2018-12-18,6,Hudson Institute;Henry Jackson Society,"London, United Kingdom; Oxford, United Kingdom",international,no
500022675,https://www.documentcloud.org/documents/24135955-500022675,23,James A. Himes,"Himes, James",H001047,TRUE,CT,4,D,2019,Original,2019-12-12,2019-12-16,5,Hudson Institute;Association Of Marshall Scholars,"London, United Kingdom; Oxford, United Kingdom",international,no
500022682,https://www.documentcloud.org/documents/24135948-500022682,24,Michael R. Turner,"Turner, Michael",T000463,TRUE,OH,10,R,2019,Original,2019-12-12,2019-12-16,5,Hudson Institute;Association Of Marshall Scholars,"London, United Kingdom; Oxford, United Kingdom",international,no
500022684,https://www.documentcloud.org/documents/24135946-500022684,23,Linda Sanchez,"Sanchez, Linda",S001156,TRUE,CA,38,D,2019,Original,2019-12-12,2019-12-16,5,Hudson Institute;Association Of Marshall Scholars,"London, United Kingdom; Oxford, United Kingdom",international,no
500022688,https://www.documentcloud.org/documents/24135942-500022688,24,Susan Brooks,"Brooks, Susan W.",B001284,TRUE,IN,5,R,2019,Original,2019-12-12,2019-12-16,5,Hudson Institute;Association Of Marshall Scholars,"London, United Kingdom; Oxford, United Kingdom",international,no
500022694,https://www.documentcloud.org/documents/24165989-500022694,23,Elise M. Stefanik,"Stefanik, Elise",S001196,TRUE,NY,21,R,2019,Original,2019-12-12,2019-12-16,5,Hudson Institute;Association Of Marshall Scholars,"London, United Kingdom; Oxford, United Kingdom",international,no